id_vehicle,first_day,last_day,id_cluster,first_location
1,27-Jun-2011,07-Jul-2011,1,1
2,27-Jun-2011,07-Jul-2011,1,1
3,27-Jun-2011,07-Jul-2011,1,1
4,27-Jun-2011,08-Jul-2011,1,1
5,27-Jun-2011,07-Jul-2011,1,1
6,21-Jun-2011,07-Jul-2011,1,1
7,21-Jun-2011,07-Jul-2011,1,1
8,22-Jun-2011,07-Jul-2011,1,1
9,21-Jun-2011,07-Jul-2011,1,1
10,21-Jun-2011,05-Jul-2011,1,1
11,18-Jun-2011,07-Jul-2011,1,1
12,16-Jun-2011,08-Jul-2011,1,1
13,16-Jun-2011,01-Jul-2011,1,1
14,16-Jun-2011,04-Jul-2011,1,1
15,16-Jun-2011,08-Jul-2011,1,1
16,16-Jun-2011,08-Jul-2011,1,1
17,16-Jun-2011,08-Jul-2011,1,1
18,17-Jun-2011,07-Jul-2011,1,1
19,16-Jun-2011,07-Jul-2011,1,1
20,19-Jun-2011,08-Jul-2011,1,1
21,16-Jun-2011,08-Jul-2011,1,1
22,18-Jun-2011,07-Jul-2011,1,1
23,17-Jun-2011,08-Jul-2011,1,1
24,15-Jun-2011,08-Jul-2011,1,1
25,16-Jun-2011,08-Jul-2011,1,1
26,27-Jun-2011,07-Jul-2011,1,1
27,15-Jun-2011,08-Jul-2011,1,1
28,15-Jun-2011,08-Jul-2011,1,1
29,19-Jun-2011,07-Jul-2011,1,1
30,18-Jun-2011,07-Jul-2011,1,1
31,19-Jul-2011,04-Aug-2011,1,1
32,22-Jul-2011,05-Aug-2011,1,1
33,26-Jul-2011,29-Jul-2011,1,1
34,20-Jul-2011,05-Aug-2011,1,1
35,21-Jul-2011,30-Jul-2011,1,1
36,20-Jul-2011,05-Aug-2011,1,1
37,21-Jul-2011,05-Aug-2011,1,1
38,02-Aug-2011,03-Aug-2011,1,1
39,15-Jul-2011,27-Jul-2011,1,1
40,25-Jul-2011,03-Aug-2011,1,1
41,18-Jul-2011,28-Jul-2011,1,1
42,15-Jul-2011,01-Aug-2011,1,3
43,19-Jul-2011,05-Aug-2011,1,1
44,19-Jul-2011,05-Aug-2011,1,1
45,17-Jul-2011,05-Aug-2011,1,1
46,19-Jul-2011,05-Aug-2011,1,1
47,15-Jul-2011,05-Aug-2011,1,1
48,14-Jul-2011,04-Aug-2011,1,1
49,13-Feb-2012,09-Mar-2012,1,1
50,16-Feb-2012,09-Mar-2012,1,1
51,16-Feb-2012,09-Mar-2012,1,1
52,16-Feb-2012,09-Mar-2012,1,1
53,16-Feb-2012,07-Mar-2012,1,1
54,15-Feb-2012,09-Mar-2012,1,1
55,17-Feb-2012,09-Mar-2012,1,1
56,15-Feb-2012,09-Mar-2012,1,1
57,16-Feb-2012,09-Mar-2012,1,1
58,13-Feb-2012,09-Mar-2012,1,1
59,16-Feb-2012,09-Mar-2012,1,1
60,16-Feb-2012,09-Mar-2012,1,1
61,16-Feb-2012,09-Mar-2012,1,1
62,23-Mar-2012,10-Apr-2012,1,1
63,20-Mar-2012,10-Apr-2012,1,1
64,20-Mar-2012,10-Apr-2012,1,1
65,23-Mar-2012,10-Apr-2012,1,1
66,22-Mar-2012,10-Apr-2012,1,1
67,20-Mar-2012,10-Apr-2012,1,1
68,20-Mar-2012,11-Apr-2012,1,1
69,20-Mar-2012,10-Apr-2012,1,1
70,20-Mar-2012,10-Apr-2012,1,1
71,21-Mar-2012,05-Apr-2012,1,1
72,21-Mar-2012,10-Apr-2012,1,1
73,22-Mar-2012,05-Apr-2012,1,1
74,07-Apr-2012,10-Apr-2012,1,1
75,22-Mar-2012,10-Apr-2012,1,1
76,21-Mar-2012,05-Apr-2012,1,1
77,21-Mar-2012,28-Mar-2012,1,1
78,20-Mar-2012,10-Apr-2012,1,1
79,26-Mar-2012,10-Apr-2012,1,1
80,20-Mar-2012,10-Apr-2012,1,1
81,20-Mar-2012,10-Apr-2012,1,1
82,20-Mar-2012,10-Apr-2012,1,1
83,11-Jun-2012,12-Jun-2012,1,1
84,11-Jun-2012,25-Jun-2012,1,1
85,11-Jun-2012,29-Jun-2012,1,1
86,11-Jun-2012,29-Jun-2012,1,1
87,11-Jun-2012,30-Jun-2012,1,1
88,11-Jun-2012,29-Jun-2012,1,1
89,13-Aug-2012,25-Aug-2012,1,1
90,01-Aug-2012,17-Aug-2012,1,1
91,20-Aug-2012,20-Aug-2012,1,1
92,01-Aug-2012,24-Aug-2012,1,1
93,03-Aug-2012,24-Aug-2012,1,1
94,03-Aug-2012,25-Aug-2012,1,1
95,02-Aug-2012,24-Aug-2012,1,1
96,01-Aug-2012,24-Aug-2012,1,1
97,01-Aug-2012,24-Aug-2012,1,1
98,10-Sep-2012,04-Oct-2012,1,1
99,11-Sep-2012,04-Oct-2012,1,1
100,11-Sep-2012,04-Oct-2012,1,1
101,17-Sep-2012,04-Oct-2012,1,1
102,10-Sep-2012,04-Oct-2012,1,1
103,10-Sep-2012,04-Oct-2012,1,1
104,10-Sep-2012,02-Oct-2012,1,1
105,11-Sep-2012,04-Oct-2012,1,1
106,10-Sep-2012,04-Oct-2012,1,1
107,10-Sep-2012,04-Oct-2012,1,1
108,11-Sep-2012,28-Sep-2012,1,1
109,10-Sep-2012,04-Oct-2012,1,1
110,11-Sep-2012,04-Oct-2012,1,1
111,13-Sep-2012,04-Oct-2012,1,1
112,10-Sep-2012,10-Oct-2012,1,1
113,10-Sep-2012,05-Oct-2012,1,1
114,07-Aug-2013,03-Sep-2013,1,1
115,06-Aug-2013,30-Aug-2013,1,1
116,12-Aug-2013,05-Sep-2013,1,1
117,05-Aug-2013,30-Aug-2013,1,1
118,05-Aug-2013,03-Sep-2013,1,1
119,05-Aug-2013,03-Sep-2013,1,1
120,27-Sep-2013,25-Oct-2013,1,1
121,26-Sep-2013,25-Oct-2013,1,1
122,26-Sep-2013,18-Oct-2013,1,1
123,14-Nov-2013,04-Dec-2013,1,1
124,12-Nov-2013,25-Nov-2013,1,1
125,14-Nov-2013,04-Dec-2013,1,1
126,13-Nov-2013,04-Dec-2013,1,1
127,07-Nov-2013,29-Nov-2013,1,1
128,14-Jan-2014,30-Jan-2014,1,1
129,13-Jan-2014,30-Jan-2014,1,1
130,13-Jan-2014,29-Jan-2014,1,1
131,07-May-2014,24-May-2014,1,1
132,05-May-2014,24-May-2014,1,1
133,05-May-2014,23-May-2014,1,1
134,06-May-2014,23-May-2014,1,1
135,08-May-2014,09-May-2014,1,1
136,06-May-2014,23-May-2014,1,1
137,05-May-2014,26-May-2014,1,1
138,05-May-2014,23-May-2014,1,1
139,19-Jul-2014,21-Jul-2014,1,1
140,25-Jun-2014,15-Jul-2014,1,1
141,25-Jun-2014,15-Jul-2014,1,1
142,25-Jun-2014,15-Jul-2014,1,1
143,24-Jun-2014,19-Jul-2014,1,1
144,30-Jun-2014,24-Jul-2014,1,1
145,14-Nov-2014,09-Dec-2014,1,1
146,13-Dec-2014,13-Dec-2014,1,1
147,16-Jan-2015,09-Feb-2015,1,1
148,15-Jan-2015,09-Feb-2015,1,1
149,15-Jan-2015,09-Feb-2015,1,1
150,13-Jan-2015,01-Feb-2015,1,1
151,20-Jan-2015,06-Feb-2015,1,1
152,14-Jan-2015,02-Feb-2015,1,1
153,10-Jan-2015,09-Feb-2015,1,1
154,12-Jan-2015,09-Feb-2015,1,1
155,12-Jan-2015,06-Feb-2015,1,1
